PCC SITENAME,PCC AUDIENCE,PCC UNIT TYPE,ENGAGEMENTS,LIKES,SHARES,LEADS,FOLLOWS,COMMENTS,REACTIONS,LANDING PAGE CLICKS
LINKEDIN,Native,Video,0,0,0,0,3,0,0,0
LINKEDIN,Native,Video,11,0,0,0,0,0,0,5
LINKEDIN,Native,Banner,31,1,0,0,0,0,1,18
LINKEDIN,Native,Video,69,4,0,0,0,0,4,30
LINKEDIN,Native,Banner,24,0,0,0,0,0,0,20
LINKEDIN,Native,Video,87,6,0,0,0,0,6,43
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,8,0,0,0,0,0,0,2
LINKEDIN,Native,Banner,3,0,0,0,0,0,0,3
LINKEDIN,Native,Banner,6,0,0,0,0,0,0,6
LINKEDIN,Native,Video,70,5,0,0,0,0,5,30
LINKEDIN,Native,Video,1,0,0,0,0,0,0,0
LINKEDIN,Native,Video,110,7,0,0,0,0,7,49
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,3,1,0,0,0,0,1,1
LINKEDIN,Native,Banner,3,0,0,0,0,0,0,2
LINKEDIN,Native,Video,8,0,0,0,0,0,0,2
LINKEDIN,Native,Banner,19,0,0,0,0,0,0,12
LINKEDIN,Native,Video,49,2,0,0,0,0,2,24
LINKEDIN,Native,Video,1,1,0,0,0,0,1,0
LINKEDIN,Native,Banner,3,0,0,0,0,0,0,1
LINKEDIN,Native,Video,2,0,0,0,0,0,0,1
LINKEDIN,Native,Video,3,0,0,0,0,0,0,3
LINKEDIN,Native,Banner,15,0,0,0,0,0,0,8
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,3,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,3,0,0
LINKEDIN,Native,Video,0,0,0,3,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,3,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,3,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Video,1,0,0,0,0,0,0,1
LINKEDIN,Native,Video,28,0,0,0,0,0,0,15
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
LINKEDIN,Native,Banner,5,1,0,0,0,0,1,3
LINKEDIN,Native,Video,0,0,0,0,0,0,0,0
